Draw,Date,Pick3,Pick4,Date_Delta
0,2012-02-21,255,2206,781.0
1,2012-02-21,511,1272,781.0
1,2012-02-22,290,5566,782.0
0,2012-02-22,313,1974,782.0
0,2012-02-22,313,1974,782.0
1,2012-02-22,290,5566,782.0
1,2012-02-23,14,6116,783.0
0,2012-02-23,224,6010,783.0
0,2012-02-23,224,6010,783.0
1,2012-02-23,14,6116,783.0
1,2012-02-24,658,1941,784.0
0,2012-02-24,363,3737,784.0
0,2012-02-24,363,3737,784.0
1,2012-02-24,658,1941,784.0
0,2012-02-25,750,2257,785.0
0,2012-02-25,750,2257,785.0
1,2012-02-25,806,8083,785.0
1,2012-02-25,806,8083,785.0
0,2012-02-26,526,8236,786.0
1,2012-02-26,770,3677,786.0
0,2012-02-26,526,8236,786.0
1,2012-02-26,770,3677,786.0
0,2012-02-27,416,3117,787.0
1,2012-02-27,155,8881,787.0
1,2012-02-27,155,8881,787.0
0,2012-02-27,416,3117,787.0
0,2012-02-28,908,9006,788.0
1,2012-02-28,397,3043,788.0
0,2012-02-28,908,9006,788.0
1,2012-02-28,397,3043,788.0
1,2012-02-29,783,3879,789.0
0,2012-02-29,0,4918,789.0
1,2012-02-29,783,3879,789.0
0,2012-02-29,0,4918,789.0
1,2012-03-01,970,3407,790.0
0,2012-03-01,128,645,790.0
0,2012-03-01,128,645,790.0
1,2012-03-01,970,3407,790.0
0,2012-03-02,900,8676,791.0
1,2012-03-02,216,6918,791.0
1,2012-03-02,216,6918,791.0
0,2012-03-02,900,8676,791.0
1,2012-03-03,519,2710,792.0
0,2012-03-03,4,2594,792.0
1,2012-03-03,519,2710,792.0
0,2012-03-03,4,2594,792.0
1,2012-03-04,592,1414,793.0
0,2012-03-04,599,6046,793.0
1,2012-03-04,592,1414,793.0
0,2012-03-04,599,6046,793.0
0,2012-03-05,528,6714,794.0
1,2012-03-05,897,7349,794.0
0,2012-03-05,528,6714,794.0
1,2012-03-05,897,7349,794.0
0,2012-03-06,588,8727,795.0
1,2012-03-06,908,7006,795.0
0,2012-03-06,588,8727,795.0
1,2012-03-06,908,7006,795.0
1,2012-03-07,139,5900,796.0
0,2012-03-07,253,2831,796.0
0,2012-03-07,253,2831,796.0
1,2012-03-07,139,5900,796.0
1,2012-03-08,971,2416,797.0
0,2012-03-08,731,2549,797.0
1,2012-03-08,971,2416,797.0
0,2012-03-08,731,2549,797.0
1,2012-03-09,768,1314,798.0
1,2012-03-09,768,1314,798.0
0,2012-03-09,394,501,798.0
0,2012-03-09,394,501,798.0
1,2012-03-10,934,6855,799.0
0,2012-03-10,885,6499,799.0
1,2012-03-10,934,6855,799.0
0,2012-03-10,885,6499,799.0
1,2012-03-11,37,6182,800.0
0,2012-03-11,856,3603,800.0
1,2012-03-11,37,6182,800.0
0,2012-03-11,856,3603,800.0
0,2012-03-12,959,7643,801.0
1,2012-03-12,121,6996,801.0
0,2012-03-12,959,7643,801.0
