Draw,Date,Pick3,Pick4
1,20120522,847,9512
0,20120522,460,5651
1,20120523,462,1622
0,20120523,465,3967
1,20120523,462,1622
0,20120523,465,3967
1,20120524,227,9611
1,20120524,227,9611
0,20120524,124,2625
0,20120524,124,2625
0,20120525,202,723
1,20120525,371,9298
0,20120525,202,723
1,20120525,371,9298
0,20120526,371,82
1,20120526,887,4873
0,20120526,371,82
1,20120526,887,4873
1,20120527,842,6527
1,20120527,842,6527
0,20120527,240,550
0,20120527,240,550
0,20120528,15,4394
1,20120528,847,2106
1,20120528,847,2106
0,20120528,15,4394
0,20120529,822,9956
1,20120529,232,5238
0,20120529,822,9956
1,20120529,232,5238
1,20120530,472,8188
0,20120530,409,5027
1,20120530,472,8188
0,20120530,409,5027
1,20120531,547,5435
0,20120531,300,6725
1,20120531,547,5435
0,20120531,300,6725
1,20120601,6,114
0,20120601,499,923
1,20120601,6,114
0,20120601,499,923
1,20120602,90,7341
0,20120602,260,7456
1,20120602,90,7341
0,20120602,260,7456
1,20120603,422,6802
0,20120603,136,9017
1,20120603,422,6802
0,20120603,136,9017
1,20120604,494,9883
1,20120604,494,9883
0,20120604,20,4709
0,20120604,20,4709
0,20120605,13,4901
1,20120605,920,6504
1,20120605,920,6504
0,20120605,13,4901
1,20120606,400,4206
0,20120606,986,8228
0,20120606,986,8228
1,20120606,400,4206
1,20120607,823,3354
0,20120607,252,7685
1,20120607,823,3354
0,20120607,252,7685
0,20120608,125,4660
1,20120608,257,6455
1,20120608,257,6455
0,20120608,125,4660
0,20120609,43,5616
1,20120609,731,9538
1,20120609,731,9538
0,20120609,43,5616
1,20120610,159,6394
0,20120610,144,4606
1,20120610,159,6394
0,20120610,144,4606
1,20120611,942,1202
0,20120611,208,3972
0,20120611,208,3972
1,20120611,942,1202
0,20120612,867,3138
0,20120612,867,3138
1,20120612,616,3359
1,20120612,616,3359
0,20120613,352,9860
1,20120613,911,2078
0,20120613,352,9860
1,20120613,911,2078
1,20120614,125,7488
0,20120614,316,4605
0,20120614,316,4605
1,20120614,125,7488
0,20120615,497,4072
1,20120615,288,9695
0,20120615,497,4072
1,20120615,288,9695
1,20120616,239,9711
0,20120616,109,1534
0,20120616,109,1534
1,20120616,239,9711
1,20120617,773,4343
0,20120617,28,4142
1,20120617,773,4343
0,20120617,28,4142
0,20120618,69,5678
0,20120618,69,5678
1,20120618,979,7715
1,20120618,979,7715
1,20120619,447,8162
0,20120619,916,3287
1,20120619,447,8162
0,20120619,916,3287
0,20120620,443,6977
1,20120620,181,784
0,20120620,443,6977
1,20120620,181,784
1,20120621,572,4576
0,20120621,625,1110
1,20120621,572,4576
0,20120621,625,1110
1,20120622,123,3793
1,20120622,123,3793
0,20120622,519,3960
0,20120622,519,3960
1,20120623,788,3870
0,20120623,85,4405
0,20120623,85,4405
1,20120623,788,3870
1,20120624,587,1928
0,20120624,491,3139
0,20120624,491,3139
1,20120624,587,1928
1,20120625,841,3613
0,20120625,497,5929
0,20120625,497,5929
1,20120625,841,3613
0,20120626,304,7489
0,20120626,304,7489
1,20120626,405,1587
1,20120626,405,1587
1,20120627,882,1462
0,20120627,530,6991
0,20120627,530,6991
1,20120627,882,1462
1,20120628,745,1614
0,20120628,808,947
1,20120628,745,1614
0,20120628,808,947
1,20120629,119,5507
0,20120629,854,822
1,20120629,119,5507
0,20120629,854,822
0,20120630,779,3461
0,20120630,779,3461
1,20120630,805,8440
1,20120630,805,8440
0,20120701,715,9743
0,20120701,715,9743
1,20120701,260,4480
1,20120701,260,4480
0,20120702,818,1825
1,20120702,577,8427
0,20120702,818,1825
1,20120702,577,8427
1,20120703,845,8795
1,20120703,845,8795
0,20120703,966,6878
0,20120703,966,6878
0,20120704,755,1453
1,20120704,503,9930
1,20120704,503,9930
0,20120704,755,1453
1,20120705,431,4718
1,20120705,431,4718
0,20120705,231,5397
0,20120705,231,5397
0,20120706,47,3592
0,20120706,47,3592
1,20120706,45,7670
1,20120706,45,7670
0,20120707,808,3493
1,20120707,514,6842
0,20120707,808,3493
1,20120707,514,6842
1,20120708,271,1779
0,20120708,675,2665
1,20120708,271,1779
0,20120708,675,2665
0,20120709,139,2922
1,20120709,22,1373
1,20120709,22,1373
0,20120709,139,2922
1,20120710,46,5735
0,20120710,763,2108
1,20120710,46,5735
0,20120710,763,2108
1,20120711,577,4501
1,20120711,577,4501
0,20120711,165,1733
0,20120711,165,1733
1,20120712,170,4111
1,20120712,170,4111
0,20120712,643,8722
0,20120712,643,8722
0,20120713,585,7536
1,20120713,721,4154
1,20120713,721,4154
0,20120713,585,7536
0,20120714,553,9512
0,20120714,553,9512
1,20120714,899,9533
1,20120714,899,9533
0,20120715,414,3539
1,20120715,177,1978
1,20120715,177,1978
0,20120715,414,3539
1,20120716,981,2544
0,20120716,245,1182
1,20120716,981,2544
0,20120716,245,1182
0,20120717,120,404
1,20120717,133,6433
1,20120717,133,6433
0,20120717,120,404
0,20120718,322,9989
1,20120718,920,2283
0,20120718,322,9989
1,20120718,920,2283
0,20120719,936,5423
1,20120719,54,1798
1,20120719,54,1798
0,20120719,936,5423
1,20120720,459,7858
0,20120720,894,6297
1,20120720,459,7858
0,20120720,894,6297
1,20120721,367,6297
0,20120721,779,5472
1,20120721,367,6297
0,20120721,779,5472
1,20120722,131,9850
0,20120722,763,9458
1,20120722,131,9850
0,20120722,763,9458
1,20120723,24,365
1,20120723,24,365
0,20120723,102,165
0,20120723,102,165
1,20120724,836,4046
0,20120724,968,9841
0,20120724,968,9841
1,20120724,836,4046
0,20120725,178,4679
1,20120725,453,1981
1,20120725,453,1981
0,20120725,178,4679
1,20120726,449,8743
1,20120726,449,8743
0,20120726,610,2080
0,20120726,610,2080
0,20120727,46,6079
1,20120727,172,6120
1,20120727,172,6120
0,20120727,46,6079
1,20120728,779,7919
0,20120728,955,1266
0,20120728,955,1266
1,20120728,779,7919
1,20120729,162,4822
0,20120729,428,951
1,20120729,162,4822
0,20120729,428,951
1,20120730,771,1061
0,20120730,617,3925
1,20120730,771,1061
0,20120730,617,3925
1,20120731,567,331
0,20120731,651,2250
1,20120731,567,331
0,20120731,651,2250
0,20120801,146,5499
0,20120801,146,5499
1,20120801,19,9909
1,20120801,19,9909
1,20120802,709,8791
0,20120802,910,3500
1,20120802,709,8791
0,20120802,910,3500
1,20120803,218,8826
0,20120803,416,9701
1,20120803,218,8826
0,20120803,416,9701
0,20120804,157,5038
1,20120804,914,6114
0,20120804,157,5038
1,20120804,914,6114
1,20120805,368,6717
0,20120805,859,7615
1,20120805,368,6717
0,20120805,859,7615
1,20120806,640,3749
0,20120806,619,567
0,20120806,619,567
1,20120806,640,3749
0,20120807,802,3907
0,20120807,802,3907
1,20120807,231,1074
1,20120807,231,1074
0,20120808,894,6297
0,20120808,894,6297
1,20120809,675,6367
0,20120809,17,9426
0,20120809,17,9426
1,20120809,675,6367
1,20120810,695,6056
0,20120810,57,3660
0,20120810,57,3660
1,20120810,695,6056
0,20120811,788,2250
1,20120811,622,1336
0,20120811,788,2250
1,20120811,622,1336
1,20120812,499,5422
0,20120812,649,4223
0,20120812,649,4223
1,20120812,499,5422
1,20120813,753,4286
1,20120813,753,4286
0,20120813,714,2361
0,20120813,714,2361
1,20120814,987,1579
0,20120814,909,5880
1,20120814,987,1579
0,20120814,909,5880
0,20120815,65,5253
1,20120815,845,9856
1,20120815,845,9856
0,20120815,65,5253
1,20120816,193,1170
0,20120816,358,3040
0,20120816,358,3040
1,20120816,193,1170
1,20120817,629,2307
0,20120817,830,8864
1,20120817,629,2307
0,20120817,830,8864
1,20120818,947,8086
0,20120818,575,9836
1,20120818,947,8086
0,20120818,575,9836
0,20120819,382,9628
1,20120819,170,2687
1,20120819,170,2687
0,20120819,382,9628
1,20120820,806,9219
1,20120820,806,9219
0,20120820,551,1178
0,20120820,551,1178
1,20120821,507,9828
0,20120821,770,2831
1,20120821,507,9828
0,20120821,770,2831
0,20120822,764,5468
1,20120822,184,8128
0,20120822,764,5468
1,20120822,184,8128
0,20120823,774,2479
0,20120823,774,2479
1,20120823,128,1431
1,20120823,128,1431
1,20120824,325,6729
0,20120824,489,1244
1,20120824,325,6729
0,20120824,489,1244
0,20120825,388,6210
1,20120825,859,9858
0,20120825,388,6210
1,20120825,859,9858
0,20120826,69,5636
1,20120826,606,6882
0,20120826,69,5636
1,20120826,606,6882
0,20120827,695,9364
1,20120827,688,6186
0,20120827,695,9364
1,20120827,688,6186
0,20120828,581,1803
1,20120828,650,7621
0,20120828,581,1803
1,20120828,650,7621
1,20120829,175,3485
1,20120829,175,3485
0,20120829,183,6790
0,20120829,183,6790
0,20120830,546,3822
1,20120830,524,5506
0,20120830,546,3822
1,20120830,524,5506
0,20120831,399,4995
0,20120831,399,4995
1,20120831,870,4550
1,20120831,870,4550
0,20120901,827,7955
1,20120901,77,105
0,20120901,827,7955
1,20120901,77,105
1,20120902,536,8412
1,20120902,536,8412
0,20120902,264,6630
0,20120902,264,6630
0,20120903,106,5169
1,20120903,19,4889
1,20120903,19,4889
0,20120903,106,5169
0,20120904,898,8354
1,20120904,468,6413
0,20120904,898,8354
1,20120904,468,6413
1,20120905,433,7598
0,20120905,835,9581
0,20120905,835,9581
1,20120905,433,7598
0,20120906,54,7206
1,20120906,351,4670
1,20120906,351,4670
0,20120906,54,7206
1,20120907,1,2223
0,20120907,839,7661
0,20120907,839,7661
1,20120907,1,2223
1,20120908,45,4442
1,20120908,45,4442
0,20120908,617,2367
0,20120908,617,2367
1,20120909,590,5125
0,20120909,44,4094
1,20120909,590,5125
0,20120909,44,4094
1,20120910,25,1989
0,20120910,200,2152
1,20120910,25,1989
0,20120910,200,2152
1,20120911,388,3112
0,20120911,775,4898
1,20120911,388,3112
0,20120911,775,4898
1,20120912,137,1565
0,20120912,574,8073
1,20120912,137,1565
0,20120912,574,8073
0,20120913,420,9851
1,20120913,791,5523
0,20120913,420,9851
1,20120913,791,5523
0,20120914,512,7292
1,20120914,198,8623
0,20120914,512,7292
1,20120914,198,8623
1,20120915,296,5515
0,20120915,488,5523
1,20120915,296,5515
0,20120915,488,5523
1,20120916,660,3740
0,20120916,30,5229
1,20120916,660,3740
0,20120916,30,5229
1,20120917,29,9881
0,20120917,953,9977
1,20120917,29,9881
0,20120917,953,9977
1,20120918,24,3705
0,20120918,477,9710
1,20120918,24,3705
0,20120918,477,9710
0,20120919,747,4729
1,20120919,513,304
1,20120919,513,304
0,20120919,747,4729
0,20120920,623,5258
1,20120920,443,5898
0,20120920,623,5258
1,20120920,443,5898
0,20120921,690,6105
1,20120921,230,8766
0,20120921,690,6105
1,20120921,230,8766
1,20120922,252,789
1,20120922,252,789
0,20120922,553,9798
0,20120922,553,9798
1,20120923,11,5051
0,20120923,724,8555
1,20120923,11,5051
0,20120923,724,8555
0,20120924,280,5910
1,20120924,181,9967
0,20120924,280,5910
1,20120924,181,9967
0,20120925,943,6388
1,20120925,9,1211
0,20120925,943,6388
1,20120925,9,1211
0,20120926,799,7246
1,20120926,11,4783
0,20120926,799,7246
1,20120926,11,4783
1,20120927,553,4615
0,20120927,609,185
1,20120927,553,4615
0,20120927,609,185
1,20120928,628,9733
1,20120928,628,9733
0,20120928,128,1541
0,20120928,128,1541
1,20120929,421,1514
0,20120929,605,2364
1,20120929,421,1514
0,20120929,605,2364
0,20120930,912,2633
1,20120930,677,5709
0,20120930,912,2633
1,20120930,677,5709
0,20121001,21,6893
0,20121001,21,6893
1,20121001,352,7574
1,20121001,352,7574
1,20121002,122,5344
0,20121002,286,2829
1,20121002,122,5344
0,20121002,286,2829
0,20121003,651,9803
1,20121003,661,5963
0,20121003,651,9803
1,20121003,661,5963
1,20121004,151,1925
0,20121004,706,7484
1,20121004,151,1925
0,20121004,706,7484
1,20121005,248,4116
0,20121005,826,5954
0,20121005,826,5954
1,20121005,248,4116
1,20121006,485,4759
0,20121006,544,3321
1,20121006,485,4759
0,20121006,544,3321
0,20121007,276,801
1,20121007,250,6624
0,20121007,276,801
1,20121007,250,6624
1,20121008,861,1718
0,20121008,952,2344
1,20121008,861,1718
0,20121008,952,2344
1,20121009,559,2692
1,20121009,559,2692
0,20121009,716,3977
0,20121009,716,3977
1,20121010,945,432
0,20121010,667,7892
1,20121010,945,432
0,20121010,667,7892
0,20121011,264,5707
1,20121011,491,1395
1,20121011,491,1395
0,20121011,264,5707
1,20121012,870,6257
0,20121012,678,2797
0,20121012,678,2797
1,20121012,870,6257
1,20121013,547,2615
0,20121013,340,8945
0,20121013,340,8945
1,20121013,547,2615
0,20121014,541,3409
1,20121014,395,5689
1,20121014,395,5689
0,20121014,541,3409
1,20121015,803,9358
0,20121015,365,8794
0,20121015,365,8794
1,20121015,803,9358
0,20121016,995,9233
0,20121016,995,9233
1,20121016,816,8627
1,20121016,816,8627
0,20121017,649,5107
0,20121017,649,5107
1,20121017,102,5674
1,20121017,102,5674
0,20121018,746,4855
1,20121018,847,3185
0,20121018,746,4855
1,20121018,847,3185
1,20121019,512,5223
0,20121019,924,4303
0,20121019,924,4303
1,20121019,512,5223
0,20121020,442,1339
1,20121020,997,201
1,20121020,997,201
0,20121020,442,1339
0,20121021,984,2666
1,20121021,866,8133
1,20121021,866,8133
0,20121021,984,2666
0,20121022,727,5961
1,20121022,994,2069
0,20121022,727,5961
1,20121022,994,2069
0,20121023,965,2784
1,20121023,636,7889
0,20121023,965,2784
1,20121023,636,7889
0,20121024,621,1109
1,20121024,167,3486
0,20121024,621,1109
1,20121024,167,3486
0,20121025,103,34
