Day - Draw, Date, Pick 3, Pick 4
THU - EVE, 5/24/2012,227,9611
FRI - MID, 5/25/2012,202,723
FRI - EVE, 5/25/2012,371,9298
SAT - MID, 5/26/2012,371,82
SAT - EVE, 5/26/2012,887,4873
SUN - MID, 5/27/2012,240,550
SUN - EVE, 5/27/2012,842,6527
MON - MID, 5/28/2012,15,4394
MON - EVE, 5/28/2012,847,2106
TUE - MID, 5/29/2012,822,9956
TUE - EVE, 5/29/2012,232,5238
WED - MID, 5/30/2012,409,5027
WED - EVE, 5/30/2012,472,8188
THU - MID, 5/31/2012,300,6725
THU - EVE, 5/31/2012,547,5435
FRI - MID, 6/1/2012,499,923
FRI - EVE, 6/1/2012,6,114
SAT - MID, 6/2/2012,260,7456
SAT - EVE, 6/2/2012,90,7341
SUN - MID, 6/3/2012,136,9017
SUN - EVE, 6/3/2012,422,6802
MON - MID, 6/4/2012,20,4709
MON - EVE, 6/4/2012,494,9883
TUE - MID, 6/5/2012,13,4901
TUE - EVE, 6/5/2012,920,6504
WED - MID, 6/6/2012,986,8228
WED - EVE, 6/6/2012,400,4206
THU - MID, 6/7/2012,252,7685
THU - EVE, 6/7/2012,823,3354
FRI - MID, 6/8/2012,125,4660
FRI - EVE, 6/8/2012,257,6455
SAT - MID, 6/9/2012,43,5616
SAT - EVE, 6/9/2012,731,9538
SUN - MID, 6/10/2012,144,4606
SUN - EVE, 6/10/2012,159,6394
MON - MID, 6/11/2012,208,3972
MON - EVE, 6/11/2012,942,1202
TUE - MID, 6/12/2012,867,3138
TUE - EVE, 6/12/2012,616,3359
WED - MID, 6/13/2012,352,9860
WED - EVE, 6/13/2012,911,2078
THU - MID, 6/14/2012,316,4605
THU - EVE, 6/14/2012,125,7488
FRI - MID, 6/15/2012,497,4072
FRI - EVE, 6/15/2012,288,9695
SAT - MID, 6/16/2012,109,1534
SAT - EVE, 6/16/2012,239,9711
SUN - MID, 6/17/2012,28,4142
SUN - EVE, 6/17/2012,773,4343
MON - MID, 6/18/2012,69,5678
MON - EVE, 6/18/2012,979,7715
TUE - MID, 6/19/2012,916,3287
TUE - EVE, 6/19/2012,447,8162
WED - MID, 6/20/2012,443,6977
WED - EVE, 6/20/2012,181,784
THU - MID, 6/21/2012,625,1110
THU - EVE, 6/21/2012,572,4576
FRI - MID, 6/22/2012,519,3960
FRI - EVE, 6/22/2012,123,3793
SAT - MID, 6/23/2012,85,4405
SAT - EVE, 6/23/2012,788,3870
SUN - MID, 6/24/2012,491,3139
SUN - EVE, 6/24/2012,587,1928
MON - MID, 6/25/2012,497,5929
MON - EVE, 6/25/2012,841,3613
TUE - MID, 6/26/2012,304,7489
TUE - EVE, 6/26/2012,405,1587
WED - MID, 6/27/2012,530,6991
WED - EVE, 6/27/2012,882,1462
THU - MID, 6/28/2012,808,947
THU - EVE, 6/28/2012,745,1614
FRI - MID, 6/29/2012,854,822
FRI - EVE, 6/29/2012,119,5507
SAT - MID, 6/30/2012,779,3461
SAT - EVE, 6/30/2012,805,8440
SUN - MID, 7/1/2012,715,9743
SUN - EVE, 7/1/2012,260,4480
MON - MID, 7/2/2012,818,1825
MON - EVE, 7/2/2012,577,8427
TUE - MID, 7/3/2012,966,6878
TUE - EVE, 7/3/2012,845,8795
WED - MID, 7/4/2012,755,1453
WED - EVE, 7/4/2012,503,9930
THU - MID, 7/5/2012,231,5397
THU - EVE, 7/5/2012,431,4718
FRI - MID, 7/6/2012,47,3592
FRI - EVE, 7/6/2012,45,7670
SAT - MID, 7/7/2012,808,3493
SAT - EVE, 7/7/2012,514,6842
SUN - MID, 7/8/2012,675,2665
SUN - EVE, 7/8/2012,271,1779
MON - MID, 7/9/2012,139,2922
MON - EVE, 7/9/2012,22,1373
TUE - MID, 7/10/2012,763,2108
TUE - EVE, 7/10/2012,46,5735
WED - MID, 7/11/2012,165,1733
WED - EVE, 7/11/2012,577,4501
THU - MID, 7/12/2012,643,8722
THU - EVE, 7/12/2012,170,4111
FRI - MID, 7/13/2012,585,7536
FRI - EVE, 7/13/2012,721,4154
SAT - MID, 7/14/2012,553,9512
SAT - EVE, 7/14/2012,899,9533
SUN - MID, 7/15/2012,414,3539
SUN - EVE, 7/15/2012,177,1978
MON - MID, 7/16/2012,245,1182
MON - EVE, 7/16/2012,981,2544
TUE - MID, 7/17/2012,120,404
TUE - EVE, 7/17/2012,133,6433
WED - MID, 7/18/2012,322,9989
WED - EVE, 7/18/2012,920,2283
THU - MID, 7/19/2012,936,5423
THU - EVE, 7/19/2012,54,1798
FRI - MID, 7/20/2012,894,6297
FRI - EVE, 7/20/2012,459,7858
SAT - MID, 7/21/2012,779,5472
SAT - EVE, 7/21/2012,367,6297
SUN - MID, 7/22/2012,763,9458
SUN - EVE, 7/22/2012,131,9850
MON - MID, 7/23/2012,102,165
MON - EVE, 7/23/2012,24,365
TUE - MID, 7/24/2012,968,9841
TUE - EVE, 7/24/2012,836,4046
WED - MID, 7/25/2012,178,4679
WED - EVE, 7/25/2012,453,1981
THU - MID, 7/26/2012,610,2080
THU - EVE, 7/26/2012,449,8743
FRI - MID, 7/27/2012,46,6079
FRI - EVE, 7/27/2012,172,6120
SAT - MID, 7/28/2012,955,1266
SAT - EVE, 7/28/2012,779,7919
SUN - MID, 7/29/2012,428,951
SUN - EVE, 7/29/2012,162,4822
MON - MID, 7/30/2012,617,3925
MON - EVE, 7/30/2012,771,1061
TUE - MID, 7/31/2012,651,2250
TUE - EVE, 7/31/2012,567,331
WED - MID, 8/1/2012,146,5499
WED - EVE, 8/1/2012,19,9909
THU - MID, 8/2/2012,910,3500
THU - EVE, 8/2/2012,709,8791
FRI - MID, 8/3/2012,416,9701
FRI - EVE, 8/3/2012,218,8826
SAT - MID, 8/4/2012,157,5038
SAT - EVE, 8/4/2012,914,6114
SUN - MID, 8/5/2012,859,7615
SUN - EVE, 8/5/2012,368,6717
MON - MID, 8/6/2012,619,567
MON - EVE, 8/6/2012,640,3749
TUE - MID, 8/7/2012,802,3907
TUE - EVE, 8/7/2012,231,1074
WED - MID, 8/8/2012,894,6297
THU - MID, 8/9/2012,17,9426
THU - EVE, 8/9/2012,675,6367
FRI - MID, 8/10/2012,57,3660
FRI - EVE, 8/10/2012,695,6056
SAT - MID, 8/11/2012,788,2250
SAT - EVE, 8/11/2012,622,1336
SUN - MID, 8/12/2012,649,4223
SUN - EVE, 8/12/2012,499,5422
MON - MID, 8/13/2012,714,2361
MON - EVE, 8/13/2012,753,4286
TUE - MID, 8/14/2012,909,5880
TUE - EVE, 8/14/2012,987,1579
WED - MID, 8/15/2012,65,5253
WED - EVE, 8/15/2012,845,9856
THU - MID, 8/16/2012,358,3040
THU - EVE, 8/16/2012,193,1170
FRI - MID, 8/17/2012,830,8864
FRI - EVE, 8/17/2012,629,2307
SAT - MID, 8/18/2012,575,9836
SAT - EVE, 8/18/2012,947,8086
SUN - MID, 8/19/2012,382,9628
SUN - EVE, 8/19/2012,170,2687
MON - MID, 8/20/2012,551,1178
MON - EVE, 8/20/2012,806,9219
TUE - MID, 8/21/2012,770,2831
TUE - EVE, 8/21/2012,507,9828
WED - MID, 8/22/2012,764,5468
WED - EVE, 8/22/2012,184,8128
THU - MID, 8/23/2012,774,2479
THU - EVE, 8/23/2012,128,1431
FRI - MID, 8/24/2012,489,1244
FRI - EVE, 8/24/2012,325,6729
SAT - MID, 8/25/2012,388,6210
SAT - EVE, 8/25/2012,859,9858
SUN - MID, 8/26/2012,69,5636
SUN - EVE, 8/26/2012,606,6882
MON - MID, 8/27/2012,695,9364
MON - EVE, 8/27/2012,688,6186
TUE - MID, 8/28/2012,581,1803
TUE - EVE, 8/28/2012,650,7621
WED - MID, 8/29/2012,183,6790
WED - EVE, 8/29/2012,175,3485
THU - MID, 8/30/2012,546,3822
THU - EVE, 8/30/2012,524,5506
FRI - MID, 8/31/2012,399,4995
FRI - EVE, 8/31/2012,870,4550
SAT - MID, 9/1/2012,827,7955
SAT - EVE, 9/1/2012,77,105
SUN - MID, 9/2/2012,264,6630
SUN - EVE, 9/2/2012,536,8412
MON - MID, 9/3/2012,106,5169
MON - EVE, 9/3/2012,19,4889
TUE - MID, 9/4/2012,898,8354
